url_length,https,subdomain_count,has_ip,hyphen_count,digit_ratio,path_length,has_at_symbol,brand_keyword_count,label
61,1,2,0,0,0.0,37,0,0,0
52,1,4,0,0,0.0,21,0,0,0
22,1,2,0,0,0.0,1,0,0,0
43,1,2,0,0,0.0,6,0,0,0
61,1,2,0,2,0.0,23,0,0,0
52,1,2,0,0,0.0,29,0,0,0
32,1,2,0,0,0.0,1,0,0,0
63,1,2,0,0,0.0,38,0,0,0
37,1,2,0,0,0.0,10,0,0,0
74,1,2,0,0,0.067,51,0,0,0
57,1,3,0,0,0.0,21,0,0,0
93,1,2,0,0,0.0,71,0,0,0
32,1,2,0,1,0.0,8,0,0,0
59,1,3,0,0,0.0,26,0,0,0
82,1,2,0,0,0.0,48,0,0,0
151,1,2,0,2,0.0,20,0,0,0
49,1,3,0,0,0.0,21,0,0,0
60,1,2,0,0,0.0,29,0,0,0
54,1,2,0,0,0.0,30,0,0,0
79,1,3,0,0,0.0,45,0,0,0
36,1,2,0,0,0.0,1,0,0,0
77,1,2,0,0,0.0,51,0,0,0
25,1,2,0,0,0.0,0,0,0,0
79,1,2,0,0,0.0,59,0,0,0
47,1,3,0,0,0.0,19,0,0,0
49,1,2,0,0,0.0,23,0,0,0
29,1,2,0,0,0.0,8,0,0,0
56,1,2,0,0,0.0,14,0,0,0
35,1,2,0,0,0.0,9,0,0,0
52,1,2,0,0,0.0,19,0,0,0
75,1,2,0,0,0.0,50,0,0,0
50,1,2,0,0,0.0,25,0,0,0
43,1,2,0,0,0.0,10,0,0,0
63,1,3,0,0,0.0,28,0,0,0
62,1,2,0,0,0.0,18,0,0,0
39,1,2,0,0,0.0,11,0,0,0
46,1,3,0,0,0.0,18,0,0,0
100,1,2,0,0,0.0,71,0,0,0
51,1,2,0,0,0.0,26,0,0,0
92,1,2,0,0,0.0,66,0,0,0
64,1,3,0,0,0.0,28,0,0,0
48,1,2,0,0,0.0,24,0,0,0
39,1,2,0,0,0.176,14,0,0,0
39,1,2,0,0,0.0,19,0,0,0
82,1,2,0,0,0.0,54,0,0,0
62,1,2,0,0,0.0,38,0,0,0
30,1,3,0,0,0.0,1,0,0,0
55,1,2,0,0,0.0,13,0,0,0
65,1,2,0,0,0.0,42,0,0,0
66,1,3,0,0,0.0,43,0,0,0
39,1,2,0,0,0.0,7,0,0,0
59,1,2,0,0,0.0,37,0,1,0
41,1,2,0,0,0.0,1,0,0,0
57,1,2,0,0,0.0,37,0,0,0
30,1,2,0,0,0.0,1,0,0,0
56,1,2,0,0,0.0,32,0,0,0
26,1,3,0,0,0.0,1,0,0,0
71,1,4,0,0,0.0,8,0,0,0
131,1,2,0,0,0.0,102,0,0,0
28,1,2,0,0,0.0,1,0,0,0
46,1,2,0,0,0.0,23,0,0,0
37,1,2,0,0,0.0,1,0,0,0
50,1,2,0,0,0.0,31,0,0,0
54,1,2,0,0,0.0,10,0,0,0
63,1,2,0,1,0.0,19,0,0,0
57,1,2,0,0,0.0,32,0,0,0
34,1,2,0,1,0.0,1,0,0,0
127,1,2,0,0,0.0,100,0,0,0
52,1,2,0,0,0.0,30,0,0,0
63,1,2,0,0,0.0,15,0,0,0
88,1,3,0,0,0.0,53,0,0,0
88,1,3,0,0,0.0,36,0,0,0
98,1,2,0,0,0.0,65,0,0,0
76,1,2,0,0,0.0,50,0,0,0
42,1,3,0,0,0.0,1,0,0,0
57,1,2,0,0,0.0,36,0,0,0
38,1,2,0,0,0.0,1,0,0,0
62,1,2,0,0,0.0,39,0,0,0
29,1,2,0,1,0.0,1,0,0,0
75,1,3,0,0,0.0,47,0,0,0
82,1,2,0,0,0.0,59,0,0,0
50,1,3,0,0,0.0,18,0,0,0
46,1,2,0,1,0.0,12,0,0,0
23,1,2,0,0,0.0,1,0,0,0
44,1,2,0,0,0.0,19,0,0,0
48,1,2,0,0,0.0,22,0,0,0
22,1,2,0,0,0.0,1,0,0,0
73,1,2,0,0,0.0,48,0,0,0
49,1,3,0,0,0.0,17,0,0,0
63,1,3,0,0,0.0,40,0,0,0
54,1,3,0,0,0.05,9,0,0,0
53,1,2,0,0,0.0,32,0,0,0
31,1,2,0,0,0.0,1,0,0,0
64,1,2,0,0,0.0,35,0,0,0
62,1,2,0,0,0.0,35,0,0,0
42,1,2,0,0,0.0,19,0,0,0
72,1,2,0,0,0.0,20,0,0,0
49,1,2,0,0,0.0,22,0,0,0
60,1,2,0,0,0.0,36,0,0,0
31,1,2,0,0,0.0,1,0,0,0
47,1,2,0,0,0.0,25,0,0,0
41,1,2,0,0,0.0,17,0,0,0
41,1,2,0,0,0.0,1,0,0,0
43,1,2,0,0,0.0,6,0,0,0
33,1,2,0,0,0.0,10,0,0,0
52,1,2,0,0,0.0,28,0,0,0
41,1,2,0,0,0.0,18,0,0,0
41,1,2,0,0,0.0,9,0,0,0
84,1,3,0,0,0.0,57,0,0,0
69,1,3,0,0,0.0,41,0,0,0
56,1,2,0,0,0.0,24,0,0,0
27,1,2,0,0,0.0,1,0,0,0
60,1,2,0,0,0.0,35,0,0,0
51,1,2,0,0,0.0,25,0,0,0
43,1,2,0,0,0.0,23,0,0,0
77,1,2,0,0,0.0,50,0,0,0
56,1,2,0,0,0.0,23,0,0,0
97,1,5,0,0,0.0,44,0,0,0
44,1,3,0,0,0.0,1,0,0,0
63,1,2,0,0,0.0,15,0,0,0
45,1,3,0,0,0.0,17,0,0,0
63,1,2,0,0,0.0,39,0,0,0
50,1,2,0,0,0.071,10,0,0,0
60,1,2,0,0,0.0,37,0,0,0
70,1,2,0,0,0.0,44,0,0,0
38,1,2,0,0,0.0,12,0,0,0
67,1,3,0,0,0.0,28,0,0,0
44,1,2,0,0,0.0,20,0,0,0
41,1,2,0,0,0.0,18,0,0,0
52,1,2,0,0,0.0,29,0,0,0
43,1,2,0,0,0.0,6,0,0,0
59,1,2,0,0,0.0,40,0,0,0
40,1,2,0,0,0.188,16,0,0,0
34,1,2,0,0,0.0,11,0,0,0
72,1,2,0,0,0.0,47,0,0,0
63,1,3,0,0,0.0,28,0,0,0
36,1,2,0,0,0.0,13,0,0,0
42,1,2,0,0,0.0,10,0,0,0
64,1,3,0,0,0.0,31,0,0,0
60,1,2,0,0,0.0,34,0,0,0
106,1,2,0,0,0.0,82,0,0,0
62,1,3,0,1,0.0,22,0,0,0
40,1,2,0,0,0.0,12,0,0,0
55,1,2,0,0,0.167,15,0,0,0
106,1,2,0,0,0.0,76,0,0,0
52,1,2,0,1,0.0,25,0,0,0
40,1,3,0,0,0.158,13,0,0,0
43,1,2,0,0,0.0,9,0,0,0
49,1,2,0,0,0.0,10,0,0,0
54,1,2,0,0,0.0,29,0,0,0
60,1,3,0,0,0.0,32,0,0,0
33,1,2,0,0,0.0,1,0,0,0
73,1,2,0,0,0.062,29,0,0,0
47,1,2,0,0,0.0,22,0,0,0
97,1,2,0,0,0.0,68,0,0,0
53,1,2,0,0,0.0,29,0,0,0
26,1,2,0,0,0.0,1,0,0,0
89,1,3,0,0,0.0,61,0,0,0
31,1,2,0,0,0.0,1,0,0,0
44,1,2,0,0,0.0,20,0,0,0
84,1,2,0,0,0.0,53,0,0,0
48,1,2,0,0,0.0,28,0,0,0
87,1,2,0,0,0.0,13,0,0,0
37,1,2,0,0,0.0,14,0,0,0
75,1,3,0,0,0.0,49,0,0,0
62,1,2,0,0,0.0,36,0,0,0
60,1,2,0,0,0.0,31,0,0,0
44,1,2,0,0,0.0,18,0,0,0
82,1,2,0,0,0.0,57,0,0,0
46,1,2,0,0,0.0,22,0,0,0
42,1,3,0,0,0.0,9,0,0,0
27,1,2,0,0,0.0,7,0,0,0
60,1,2,0,0,0.0,32,0,0,0
58,1,3,0,0,0.0,18,0,0,0
34,1,2,0,0,0.0,11,0,0,0
38,1,2,0,0,0.0,14,0,0,0
42,1,2,0,0,0.0,18,0,0,0
28,1,2,0,0,0.0,1,0,0,0
58,1,2,0,0,0.0,34,0,0,0
57,1,2,0,0,0.0,28,0,0,0
28,1,2,0,0,0.0,1,0,0,0
52,1,2,0,0,0.0,20,0,0,0
33,1,2,0,0,0.0,10,0,0,0
52,1,3,0,0,0.0,24,0,0,0
31,1,2,0,0,0.0,1,0,0,0
27,1,2,0,0,0.0,1,0,0,0
65,1,2,0,0,0.0,11,0,0,0
28,1,2,0,0,0.0,10,0,0,0
77,1,2,0,0,0.0,58,0,0,0
53,1,3,0,0,0.0,26,0,0,0
58,1,2,0,0,0.0,33,0,0,0
100,1,2,0,0,0.0,38,0,0,0
31,1,2,0,0,0.0,7,0,0,0
52,1,2,0,0,0.0,9,0,0,0
73,1,3,0,0,0.0,35,0,0,0
106,1,2,0,0,0.0,81,0,0,0
44,1,2,0,0,0.0,20,0,0,0
62,1,2,0,0,0.0,32,0,0,0
38,1,2,0,0,0.0,18,0,0,0
70,1,2,0,0,0.0,43,0,0,0
141,1,2,0,0,0.0,117,0,0,0
43,1,2,0,0,0.0,6,0,0,0
35,1,3,0,0,0.0,1,0,0,0
49,1,3,0,0,0.0,11,0,0,0
38,1,2,0,0,0.0,16,0,0,0
30,1,2,0,0,0.0,1,0,0,0
73,1,3,0,0,0.0,45,0,0,0
91,1,2,0,0,0.0,72,0,0,0
27,1,2,0,0,0.0,1,0,0,0
54,1,3,0,0,0.172,17,0,0,0
56,1,2,0,0,0.0,22,0,0,0
19,1,2,0,0,0.0,1,0,0,0
43,1,3,0,0,0.0,19,0,0,0
63,1,3,0,0,0.0,35,0,0,0
61,1,2,0,0,0.0,30,0,0,0
82,1,2,0,0,0.0,56,0,0,0
56,1,2,0,0,0.0,33,0,0,0
128,1,3,0,0,0.045,98,0,0,0
43,1,2,0,0,0.0,15,0,0,0
71,1,2,0,0,0.0,19,0,0,0
66,1,4,0,0,0.0,33,0,0,0
50,1,2,0,0,0.0,17,0,0,0
37,1,2,0,0,0.0,14,0,0,0
54,1,2,0,0,0.0,21,0,0,0
43,1,2,0,0,0.0,13,0,0,0
32,1,2,0,0,0.0,10,0,0,0
83,1,3,0,0,0.0,50,0,0,0
36,1,2,0,0,0.0,1,0,0,0
49,1,2,0,0,0.0,29,0,0,0
91,1,2,0,0,0.0,63,0,0,0
72,1,2,0,0,0.0,49,0,0,0
39,1,2,0,0,0.176,14,0,0,0
69,1,4,0,0,0.0,12,0,1,0
29,1,2,0,0,0.0,7,0,0,0
59,1,2,0,0,0.0,31,0,0,0
46,1,2,0,3,0.0,1,0,0,0
50,1,2,0,0,0.0,28,0,0,0
43,1,3,0,0,0.0,15,0,0,0
37,1,3,0,0,0.0,1,0,0,0
100,1,3,0,0,0.0,59,0,0,0
25,1,2,0,0,0.0,1,0,0,0
58,1,2,0,0,0.0,24,0,0,0
33,1,2,0,0,0.0,12,0,0,0
82,1,2,0,0,0.0,56,0,0,0
105,1,2,0,0,0.0,5,0,0,0
37,1,2,0,0,0.0,14,0,0,0
46,1,2,0,0,0.0,23,0,0,0
64,1,2,0,0,0.0,35,0,0,0
35,1,2,0,0,0.0,13,0,0,0
59,1,2,0,0,0.0,31,0,0,0
27,1,2,0,2,0.056,1,0,0,0
73,1,3,0,0,0.0,39,0,0,0
28,1,2,0,0,0.0,1,0,0,0
28,1,2,0,0,0.0,1,0,0,0
80,1,2,0,0,0.0,19,0,0,0
59,1,2,0,0,0.0,37,0,0,0
43,1,2,0,0,0.0,19,0,0,0
28,1,2,0,0,0.0,1,0,0,0
131,1,2,0,0,0.0,111,0,0,0
50,1,3,0,0,0.0,22,0,0,0
76,1,2,0,0,0.0,48,0,0,0
79,1,2,0,1,0.0,50,0,0,0
62,1,2,0,0,0.0,22,0,0,0
108,1,2,0,0,0.0,79,0,0,0
60,1,2,0,1,0.0,33,0,0,0
57,1,2,0,0,0.0,38,0,0,0
33,1,2,0,0,0.0,11,0,0,0
73,1,2,0,0,0.0,51,0,1,0
22,1,2,0,0,0.0,1,0,0,0
40,1,2,0,0,0.0,15,0,0,0
90,1,3,0,0,0.062,50,0,0,0
76,1,2,0,0,0.0,49,0,0,0
71,1,2,0,0,0.045,41,0,0,0
66,1,2,0,0,0.0,45,0,0,0
35,1,2,0,0,0.05,7,0,0,0
71,1,3,0,0,0.0,44,0,0,0
50,1,3,0,0,0.0,22,0,0,0
56,1,2,0,0,0.0,16,0,0,0
64,1,3,0,0,0.0,35,0,0,0
39,1,3,0,0,0.0,1,0,0,0
22,1,2,0,0,0.0,1,0,0,0
74,1,3,0,0,0.0,46,0,0,0
242,1,2,0,0,0.0,19,0,0,0
80,1,3,0,0,0.0,50,0,0,0
79,1,2,0,0,0.0,10,0,0,0
39,1,2,0,1,0.0,6,0,0,0
37,1,2,0,0,0.188,13,0,0,0
110,1,2,0,0,0.0,84,0,0,0
32,1,2,0,0,0.0,1,0,0,0
67,1,2,0,0,0.0,37,0,0,0
